Original,,,,Compressed,,,,,,
Height,Width,Area,,FileName,Height,Width,Area,,,
720,1280,921.6,,Z:/Temp/Compressed\VID_20220717_121008125_comp_60.mp4,432,768,331.776,,,36
720,1280,921.6,,Z:/Temp/Compressed\VID_20220717_121008125_comp_70.mp4,503,896,450.688,,,48.90277778
720,1280,921.6,,Z:/Temp/Compressed\VID_20220717_121008125_comp_70_2.mp4,503,896,450.688,,,48.90277778
1280,720,921.6,,Z:/Temp/Compressed\VID_20230220_143526994_comp_70.mp4,896,503,450.688,,,48.90277778
720,1280,921.6,,Z:/Temp/Compressed\VID_20230220_193655722_comp_70.mp4,503,896,450.688,,,48.90277778
